page_id,doc_id,confidence,notes,duplicate_of
dolil_1,deed_p0001,manual,,
dolil_2,deed_p0002,manual,,
dolil_3,deed_p0003,manual,,
dolil_4,deed_p0003,manual,,
dolil_5,deed_p0003,manual,,
dolil_6,deed_p0003,manual,,
dolil_7,deed_p0007,manual,,
dolil_8,deed_p0007,manual,,
dolil_9,deed_p0007,manual,,
dolil_10,deed_p0007,manual,,
dolil_11,deed_p0007,manual,,
dolil_12,deed_p0012,manual,,
dolil_13,deed_p0013,manual,,
dolil_14,deed_p0013,manual,,
dolil_15,deed_p0013,manual,,
dolil_16,deed_p0016,manual,,
dolil_17,deed_p0016,manual,,
dolil_18,deed_p0016,manual,,
dolil_19,deed_p0019,manual,,
dolil_20,deed_p0020,manual,marked not-sure by reviewer,
dolil_21,deed_p0020,manual,marked not-sure by reviewer,
dolil_22,deed_p0020,manual,marked not-sure by reviewer,
dolil_23,deed_p0023,manual,,
dolil_24,deed_p0024,manual,,
dolil_25,deed_p0024,manual,,
dolil_26,deed_p0026,manual,,
dolil_27,deed_p0026,manual,,
dolil_28,deed_p0028,manual,,
dolil_29,deed_p0028,manual,,
dolil_31,deed_p0031,manual,,
dolil_32,deed_p0032,manual,,
dolil_33,deed_p0032,manual,,
dolil_34,deed_p0032,manual,,
dolil_35,deed_p0035,manual,,
dolil_36,deed_p0035,manual,,
dolil_37,deed_p0037,manual,,
dolil_38,deed_p0038,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_39,deed_p0039,manual,,
dolil_40,deed_p0039,manual,,
dolil_41,deed_p0039,manual,,
dolil_42,deed_p0039,manual,,
dolil_43,deed_p0039,manual,,
dolil_44,deed_p0039,manual,,
dolil_45,deed_p0039,manual,,
dolil_46,deed_p0039,manual,,
dolil_47,deed_p0039,manual,,
dolil_48,deed_p0039,manual,,
dolil_49,deed_p0049,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_50,deed_p0039,manual,,
dolil_51,deed_p0051,manual,,
dolil_52,deed_p0051,manual,,
dolil_53,deed_p0051,manual,,
dolil_54,deed_p0051,manual,,
dolil_55,deed_p0051,manual,,
dolil_56,deed_p0056,manual,,
dolil_57,deed_p0057,manual,,
dolil_58,deed_p0057,manual,,
dolil_59,deed_p0057,manual,,
dolil_60,deed_p0060,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_61,deed_p0061,manual,,
dolil_62,deed_p0062,manual,marked not-readable by reviewer,
dolil_63,deed_p0062,manual,marked not-readable by reviewer,
dolil_64,deed_p0062,manual,marked not-readable by reviewer,
dolil_65,deed_p0062,manual,marked not-readable by reviewer,
dolil_66,deed_p0062,manual,marked not-readable by reviewer,
dolil_67,deed_p0062,manual,marked not-readable by reviewer,
dolil_68,deed_p0062,manual,marked not-readable by reviewer,
dolil_69,deed_p0062,manual,marked not-readable by reviewer,
dolil_70,deed_p0062,manual,marked not-readable by reviewer,
dolil_71,deed_p0071,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_72,deed_p0072,manual,marked not-readable by reviewer,
dolil_73,deed_p0072,manual,marked not-readable by reviewer,
dolil_74,deed_p0072,manual,marked not-readable by reviewer,
dolil_75,deed_p0075,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_76,deed_p0075,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",dolil_75
dolil_77,deed_p0075,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_78,deed_p0075,manual,"reviewer noted duplicate content within this range, exact pair(s) not pinned down",
dolil_79,deed_p0079,manual,,
dolil_80,deed_p0079,manual,,
dolil_81,deed_p0079,manual,,
dolil_82,deed_p0082,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_83,deed_p0083,manual,marked not-readable by reviewer,
dolil_84,deed_p0083,manual,marked not-readable by reviewer,
dolil_85,deed_p0083,manual,marked not-readable by reviewer,
dolil_86,deed_p0083,manual,marked not-readable by reviewer,
dolil_87,deed_p0083,manual,marked not-readable by reviewer,
dolil_88,deed_p0083,manual,marked not-readable by reviewer,
dolil_89,deed_p0083,manual,marked not-readable by reviewer,
dolil_90,deed_p0083,manual,marked not-readable by reviewer,
dolil_91,deed_p0083,manual,marked not-readable by reviewer,
dolil_92,deed_p0083,manual,marked not-readable by reviewer,
dolil_93,deed_p0093,unreviewed,"scattered-line, both hypotheses (one deed / +11 blocks) tested and rejected",
dolil_94,deed_p0094,unreviewed,skipped during manual pass (1-252),
dolil_95,deed_p0095,unreviewed,skipped during manual pass (1-252),
dolil_96,deed_p0096,unreviewed,skipped during manual pass (1-252),
dolil_97,deed_p0097,unreviewed,skipped during manual pass (1-252),
